ensembl_gene_id,lib1,lib10,lib2,lib3,lib4,lib5,lib6,lib7,lib8,lib9
ENSG00000186827,7.9414854013883796,5.935435862193723,6.900239786102484,8.043482306450914,6.768620825405161,6.746776317333335,6.511760906685356,7.771315166090869,6.834642603113109,6.5812792850491775
ENSG00000186891,7.556894812295175,4.700699450762294,5.634227680468794,6.921358025810305,3.9682692910853192,5.622397471596638,4.163541513979065,6.133491979822089,4.812853914347823,7.002859630194793
ENSG00000160072,5.691578429540198,5.546283823241853,4.944183133690081,4.832038035570336,5.304794762185639,5.633410464319056,5.8133551590501895,6.103821113145745,5.298280741518064,5.081205681914534
ENSG00000041988,4.400677230273461,4.902804857953757,6.0990687356682525,4.789288388110998,6.524418094301739,4.102286115225449,5.633487354360299,5.777201322933662,6.751998708960968,5.113810347346462
ENSG00000142611,-1.153911621404177,-2.3545829847388955,-1.2846355568058003,-2.2659940473901914,-1.914373758276522,0.7644164764690656,-2.279401981869663,0.3224613996210864,1.4267954820407447,-2.3700054299177946
ENSG00000067606,-1.153911621404177,1.7328798565114438,2.802827284444539,2.126323375388569,-1.914373758276522,4.489309238334696,2.1129154409090973,3.1298163216786903,-2.032636136596553,-0.048077335030432294
ENSG00000131584,5.504299861347618,4.359662532927227,2.9632919566377853,5.217821729874065,3.7580515836949737,4.102286115225449,2.5785790132579094,5.030806315847524,4.443097294369845,5.309474669587652
ENSG00000169972,3.800284688982698,5.33890397276043,2.6222550388027184,4.767428954147259,3.7580515836949737,5.929881829720678,3.146862772832435,4.335285439978669,3.5219527150810848,5.635619119276083
ENSG00000157911,1.6534433006534273,3.711506205718877,2.802827284444539,2.688202262996684,2.1730890829738176,3.1490803267043903,2.364454207905062,3.5374742905919367,3.096646880348414,4.105728001048603
ENSG00000224051,4.728731427957665,3.7951641347657867,2.6222550388027184,4.8108215496606395,4.49501717786118,2.803944840655703,4.02437876630744,4.480890762225569,4.157188422283465,3.0562593247843033
ENSG00000157933,3.489944568370548,2.1689789713181176,1.0372925380815619,1.8214687938601481,2.9436072368510504,2.118053431083766,0.04252611301769952,0.3224613996210864,0.2892919582908098,3.8198191289622225
ENSG00000142655,2.30551999723312,3.1372701115907793,3.9248178088231493,2.4888934547732773,3.8135466962866773,2.5486877854136285,3.697877941630254,3.3977495269253235,3.8002538775681893,1.7174574113325447
ENSG00000149527,2.30551999723312,2.9308192341233528,-1.2846355568058003,-2.2659940473901914,-0.3294112575553658,1.0539230936640505,-2.279401981869663,-2.484893522436518,-2.032636136596553,-2.3700054299177946
ENSG00000007923,5.614272703372749,5.716879377817729,5.019145191371303,5.399341869794985,5.140908677224668,6.058015848297933,6.192273232522381,6.3320901008188635,5.768263763323752,4.80990366009714
ENSG00000171621,2.9335512198461626,4.020456446608029,4.0729164478122835,-0.6810315466690352,3.7003360858386865,2.7237744919717195,4.686382302792424,3.743925168059363,3.989731676431902,3.6072744935821217
ENSG00000162441,5.879511380133273,6.314301999527352,5.74878744473165,6.014776722740411,6.270501584631762,6.647059525830907,5.5343792093473745,5.249816097789321,5.4511796406677036,6.101669784474249
ENSG00000142583,1.6534433006534273,4.587931520600344,0.300326943915356,-0.6810315466690352,2.1730890829738176,1.5013820706352718,2.9300513837592868,-2.484893522436518,-2.032636136596553,4.199850178413153
ENSG00000107404,3.800284688982698,0.8153420167034169,3.1076818659729604,4.241800592808505,3.2149092586684445,0.4018463970843573,0.8905230195726495,4.084962085894429,2.054826704653787,2.0223119928609656
ENSG00000177000,6.722605325160822,6.263802517519711,5.401864970377418,6.478839790109355,5.4865056780056625,6.993235166964946,5.865256260962219,6.7842331567129,5.4511796406677036,6.908444028302687
ENSG00000069424,7.675811113681882,5.129232792525361,6.351989063737848,7.343184690751788,5.585472128806684,5.186948512294833,4.9202703629667015,6.774849741254264,4.7088308498045945,6.515690943421601
